Timestamp, Device ID, Start Time, Received Time, Delay (ms)
2022-01-13 17:59:45,NF1,1642071585.6295063,1642071585.6295738,0.07
2022-01-13 17:59:47,NF1,1642071587.7767904,1642071587.7768476,0.06
2022-01-13 17:59:49,NF1,1642071589.9536743,1642071589.9537253,0.05
2022-01-13 17:59:52,NF1,1642071592.4627125,1642071592.4628308,0.12
2022-01-13 17:59:54,NF1,1642071594.5641491,1642071594.5643187,0.17
2022-01-13 17:59:56,NF1,1642071596.727402,1642071596.7274477,0.05
2022-01-13 17:59:58,NF1,1642071598.8662393,1642071598.866453,0.21
2022-01-13 18:00:01,NF1,1642071601.0096233,1642071601.009648,0.02
2022-01-13 18:00:03,NF1,1642071603.3903854,1642071603.39041,0.02
2022-01-13 18:00:06,NF1,1642071606.6346817,1642071606.6349185,0.24
2022-01-13 18:00:07,NF1,1642071607.694945,1642071607.6950772,0.13
2022-01-13 18:00:10,NF1,1642071610.3427265,1642071610.342751,0.02
2022-01-13 18:00:12,NF1,1642071612.7104225,1642071612.7104785,0.06
2022-01-13 18:00:14,NF1,1642071614.7053816,1642071614.705446,0.06
2022-01-13 18:00:17,NF1,1642071617.070501,1642071617.0706,0.1
2022-01-13 18:00:19,NF1,1642071619.3862164,1642071619.3862596,0.04
2022-01-13 18:00:21,NF1,1642071621.4778152,1642071621.477839,0.02
2022-01-13 18:00:23,NF1,1642071623.5264075,1642071623.5264356,0.03
2022-01-13 18:00:25,NF1,1642071625.8025594,1642071625.8026245,0.07
2022-01-13 18:00:28,NF1,1642071628.4936912,1642071628.4937146,0.02
2022-01-13 18:00:30,NF1,1642071630.8330796,1642071630.8331494,0.07
2022-01-13 18:00:33,NF1,1642071633.0250173,1642071633.025078,0.06
2022-01-13 18:00:34,NF1,1642071634.837414,1642071634.8378382,0.42
2022-01-13 18:00:37,NF1,1642071637.0326278,1642071637.032854,0.23
2022-01-13 18:00:40,NF1,1642071640.0739837,1642071640.074131,0.15
2022-01-13 18:00:41,NF1,1642071641.885324,1642071641.8853672,0.04
2022-01-13 18:00:44,NF1,1642071644.0322018,1642071644.0324948,0.29
2022-01-13 18:00:46,NF1,1642071646.7273464,1642071646.727385,0.04
2022-01-13 18:00:48,NF1,1642071648.81753,1642071648.8175817,0.05
2022-01-13 18:00:50,NF1,1642071650.638717,1642071650.6388118,0.09
2022-01-13 18:00:53,NF1,1642071653.3467133,1642071653.3467672,0.05
2022-01-13 18:00:55,NF1,1642071655.3861663,1642071655.38621,0.04
2022-01-13 18:00:58,NF1,1642071658.0432878,1642071658.0433314,0.04
2022-01-13 18:00:59,NF1,1642071659.9044716,1642071659.905264,0.79
2022-01-13 18:01:02,NF1,1642071662.2568219,1642071662.2569077,0.09
2022-01-13 18:01:04,NF1,1642071664.4866529,1642071664.4867027,0.05
2022-01-13 18:01:07,NF1,1642071667.2681916,1642071667.2684696,0.28
2022-01-13 18:01:09,NF1,1642071669.000461,1642071669.0007956,0.33
2022-01-13 18:01:11,NF1,1642071671.097614,1642071671.0977297,0.12
2022-01-13 18:01:13,NF1,1642071673.3077686,1642071673.3078313,0.06
2022-01-13 18:01:15,NF1,1642071675.7096162,1642071675.7096403,0.02
2022-01-13 18:01:17,NF1,1642071677.5669112,1642071677.5670805,0.17
2022-01-13 18:01:19,NF1,1642071679.582157,1642071679.5821812,0.02
2022-01-13 18:01:22,NF1,1642071682.3413846,1642071682.3414085,0.02
2022-01-13 18:01:24,NF1,1642071684.405453,1642071684.405531,0.08
2022-01-13 18:01:27,NF1,1642071687.0776372,1642071687.0776942,0.06
2022-01-13 18:01:29,NF1,1642071689.1626515,1642071689.1627963,0.14
2022-01-13 18:01:31,NF1,1642071691.5674632,1642071691.567635,0.17
2022-01-13 18:01:33,NF1,1642071693.5921905,1642071693.5922143,0.02
2022-01-13 18:01:35,NF1,1642071695.8570023,1642071695.8570628,0.06
2022-01-13 18:01:37,NF1,1642071697.9405131,1642071697.9408267,0.31
2022-01-13 18:01:40,NF1,1642071700.2852242,1642071700.2852635,0.04
2022-01-13 18:01:42,NF1,1642071702.884895,1642071702.8849654,0.07
2022-01-13 18:01:45,NF1,1642071705.0156953,1642071705.0157623,0.07
2022-01-13 18:01:46,NF1,1642071706.9218936,1642071706.9219768,0.08
2022-01-13 18:01:49,NF1,1642071709.763154,1642071709.763252,0.1
2022-01-13 18:01:51,NF1,1642071711.8817554,1642071711.8818138,0.06
2022-01-13 18:01:54,NF1,1642071714.0415635,1642071714.04164,0.08
2022-01-13 18:01:56,NF1,1642071716.0806925,1642071716.08075,0.06
2022-01-13 18:01:58,NF1,1642071718.4689872,1642071718.4690154,0.03
2022-01-13 18:02:00,NF1,1642071720.379405,1642071720.3794289,0.02
2022-01-13 18:02:02,NF1,1642071722.5199783,1642071722.5200202,0.04
2022-01-13 18:02:06,NF1,1642071726.0849626,1642071726.084992,0.03
2022-01-13 18:02:06,NF1,1642071726.8535404,1642071726.8535845,0.04
2022-01-13 18:02:10,NF1,1642071730.6183646,1642071730.6185865,0.22
2022-01-13 18:02:11,NF1,1642071731.6933808,1642071731.6934276,0.05
2022-01-13 18:02:13,NF1,1642071733.746849,1642071733.7468956,0.05
2022-01-13 18:02:16,NF1,1642071736.1912034,1642071736.1912544,0.05
2022-01-13 18:02:18,NF1,1642071738.4069917,1642071738.4070475,0.06
2022-01-13 18:02:20,NF1,1642071740.6141472,1642071740.6141903,0.04
2022-01-13 18:02:22,NF1,1642071742.9844418,1642071742.9845073,0.07
2022-01-13 18:02:25,NF1,1642071745.5717578,1642071745.5719392,0.18
2022-01-13 18:02:27,NF1,1642071747.7880175,1642071747.7880585,0.04
2022-01-13 18:02:30,NF1,1642071750.4093077,1642071750.4093595,0.05
2022-01-13 18:02:32,NF1,1642071752.0001488,1642071752.000512,0.36
2022-01-13 18:02:34,NF1,1642071754.4931219,1642071754.493161,0.04
2022-01-13 18:02:36,NF1,1642071756.7479265,1642071756.7479851,0.06
2022-01-13 18:02:39,NF1,1642071759.2702365,1642071759.2703147,0.08
2022-01-13 18:02:41,NF1,1642071761.1769552,1642071761.1769953,0.04
2022-01-13 18:02:42,NF1,1642071762.8169951,1642071762.817062,0.07
2022-01-13 18:02:45,NF1,1642071765.1517456,1642071765.1518075,0.06
2022-01-13 18:02:47,NF1,1642071767.7401845,1642071767.740209,0.02
2022-01-13 18:02:50,NF1,1642071770.047445,1642071770.0475123,0.07
2022-01-13 18:02:52,NF1,1642071772.9576426,1642071772.9576666,0.02
2022-01-13 18:02:55,NF1,1642071775.108875,1642071775.1089323,0.06
2022-01-13 18:02:57,NF1,1642071777.195366,1642071777.1954238,0.06
2022-01-13 18:02:59,NF1,1642071779.5964272,1642071779.5965078,0.08
2022-01-13 18:03:01,NF1,1642071781.5540984,1642071781.5541475,0.05
2022-01-13 18:03:03,NF1,1642071783.7329497,1642071783.7329748,0.03
