serial_number,latency,timestamp
NOVA,142.034,2022-06-30 13:34:23
TERRA,142.358,2022-06-30 13:34:24
COTA,145.945,2022-06-30 13:34:26
MONA,143.815,2022-06-30 13:34:28
LISA,142.602,2022-06-30 13:34:30
BOSSA,145.401,2022-06-30 13:34:31
NOVA,142.327,2022-06-30 13:34:33
TERRA,142.759,2022-06-30 13:34:34
COTA,143.53,2022-06-30 13:34:36
MONA,143.829,2022-06-30 13:34:38
LISA,142.795,2022-06-30 13:34:40
BOSSA,143.094,2022-06-30 13:34:41
NOVA,142.869,2022-06-30 13:34:43
TERRA,142.715,2022-06-30 13:34:44
COTA,142.701,2022-06-30 13:34:46
MONA,169.25,2022-06-30 13:34:48
LISA,174.636,2022-06-30 13:34:50
BOSSA,143.1,2022-06-30 13:34:51
NOVA,145.932,2022-06-30 13:34:53
TERRA,143.242,2022-06-30 13:34:54
COTA,183.916,2022-06-30 13:34:56
MONA,144.344,2022-06-30 13:34:58
LISA,142.793,2022-06-30 13:35:00
BOSSA,168.764,2022-06-30 13:35:01
NOVA,179.715,2022-06-30 13:35:03
TERRA,142.227,2022-06-30 13:35:04
COTA,148.927,2022-06-30 13:35:06
MONA,170.75,2022-06-30 13:35:08
LISA,152.132,2022-06-30 13:35:10
BOSSA,143.215,2022-06-30 13:35:11
NOVA,248.319,2022-06-30 13:35:13
TERRA,142.282,2022-06-30 13:35:14
COTA,144.47,2022-06-30 13:35:16
MONA,167.946,2022-06-30 13:35:18
LISA,178.547,2022-06-30 13:35:20
BOSSA,142.301,2022-06-30 13:35:21
NOVA,143.086,2022-06-30 13:35:23
TERRA,163.539,2022-06-30 13:35:24
COTA,146.415,2022-06-30 13:35:26
MONA,196.556,2022-06-30 13:35:28
LISA,142.682,2022-06-30 13:35:30
BOSSA,143.572,2022-06-30 13:35:31
NOVA,143.443,2022-06-30 13:35:33
TERRA,142.489,2022-06-30 13:35:34
COTA,143.353,2022-06-30 13:35:36
MONA,176.445,2022-06-30 13:35:38
LISA,143.82,2022-06-30 13:35:40
BOSSA,141.986,2022-06-30 13:35:41
NOVA,194.9,2022-06-30 13:35:43
TERRA,141.963,2022-06-30 13:35:44
COTA,142.532,2022-06-30 13:35:46
MONA,145.336,2022-06-30 13:35:48
LISA,142.015,2022-06-30 13:35:50
BOSSA,169.294,2022-06-30 13:35:51
NOVA,296.757,2022-06-30 13:35:53
TERRA,230.04,2022-06-30 13:35:55
COTA,145.526,2022-06-30 13:35:56
MONA,181.477,2022-06-30 13:35:59
LISA,141.722,2022-06-30 13:36:00
BOSSA,141.991,2022-06-30 13:36:01
NOVA,177.066,2022-06-30 13:36:03
TERRA,289.765,2022-06-30 13:36:05
COTA,144.157,2022-06-30 13:36:06
MONA,181.607,2022-06-30 13:36:09
LISA,158.562,2022-06-30 13:36:10
BOSSA,142.088,2022-06-30 13:36:11
NOVA,142.563,2022-06-30 13:36:13
TERRA,146.093,2022-06-30 13:36:15
COTA,177.387,2022-06-30 13:36:16
MONA,145.966,2022-06-30 13:36:19
LISA,159.349,2022-06-30 13:36:20
BOSSA,143.126,2022-06-30 13:36:22
NOVA,142.943,2022-06-30 13:36:23
TERRA,218.066,2022-06-30 13:36:25
COTA,154.459,2022-06-30 13:36:26
MONA,213.684,2022-06-30 13:36:29
LISA,142.146,2022-06-30 13:36:30
BOSSA,156.476,2022-06-30 13:36:32
NOVA,142.385,2022-06-30 13:36:33
TERRA,148.135,2022-06-30 13:36:35
COTA,146.817,2022-06-30 13:36:36
MONA,143.956,2022-06-30 13:36:39
LISA,141.743,2022-06-30 13:36:40
BOSSA,150.752,2022-06-30 13:36:42
NOVA,144.421,2022-06-30 13:36:43
TERRA,143.535,2022-06-30 13:36:45
COTA,144.839,2022-06-30 13:36:46
MONA,145.816,2022-06-30 13:36:49
LISA,142.772,2022-06-30 13:36:50
BOSSA,142.504,2022-06-30 13:36:52
NOVA,143.005,2022-06-30 13:36:53
TERRA,141.958,2022-06-30 13:36:55
COTA,143.221,2022-06-30 13:36:56
MONA,239.106,2022-06-30 13:36:59
LISA,141.871,2022-06-30 13:37:00
BOSSA,144.96,2022-06-30 13:37:02
NOVA,141.741,2022-06-30 13:37:03
TERRA,141.656,2022-06-30 13:37:05
COTA,142.398,2022-06-30 13:37:06
MONA,149.611,2022-06-30 13:37:09
LISA,150.886,2022-06-30 13:37:10
BOSSA,144.892,2022-06-30 13:37:12
NOVA,152.317,2022-06-30 13:37:13
TERRA,142.354,2022-06-30 13:37:15
COTA,143.019,2022-06-30 13:37:16
MONA,148.169,2022-06-30 13:37:19
LISA,164.262,2022-06-30 13:37:20
BOSSA,143.522,2022-06-30 13:37:22
NOVA,142.378,2022-06-30 13:37:24
TERRA,159.242,2022-06-30 13:37:25
COTA,142.972,2022-06-30 13:37:26
MONA,145.488,2022-06-30 13:37:29
LISA,142.978,2022-06-30 13:37:30
BOSSA,165.595,2022-06-30 13:37:32
NOVA,143.843,2022-06-30 13:37:33
TERRA,144.166,2022-06-30 13:37:35
COTA,152.376,2022-06-30 13:37:36
MONA,308.251,2022-06-30 13:37:39
LISA,144.133,2022-06-30 13:37:40
BOSSA,143.936,2022-06-30 13:37:42
NOVA,143.563,2022-06-30 13:37:43
TERRA,143.796,2022-06-30 13:37:45
COTA,144.615,2022-06-30 13:37:46
MONA,145.136,2022-06-30 13:37:49
LISA,143.79,2022-06-30 13:37:50
BOSSA,143.246,2022-06-30 13:37:52
NOVA,145.67,2022-06-30 13:37:53
TERRA,143.435,2022-06-30 13:37:55
COTA,144.114,2022-06-30 13:37:56
MONA,144.778,2022-06-30 13:37:59
LISA,146.394,2022-06-30 13:38:00
BOSSA,143.747,2022-06-30 13:38:02
NOVA,149.627,2022-06-30 13:38:03
TERRA,146.755,2022-06-30 13:38:05
COTA,151.847,2022-06-30 13:38:06
MONA,150.731,2022-06-30 13:38:09
LISA,144.834,2022-06-30 13:38:10
BOSSA,144.466,2022-06-30 13:38:12
NOVA,146.857,2022-06-30 13:38:13
TERRA,143.093,2022-06-30 13:38:15
COTA,143.511,2022-06-30 13:38:16
MONA,149.311,2022-06-30 13:38:19
LISA,144.042,2022-06-30 13:38:20
BOSSA,144.119,2022-06-30 13:38:22
NOVA,151.882,2022-06-30 13:38:23
TERRA,146.096,2022-06-30 13:38:25
COTA,165.613,2022-06-30 13:38:26
MONA,145.673,2022-06-30 13:38:29
LISA,143.687,2022-06-30 13:38:31
BOSSA,143.323,2022-06-30 13:38:32
NOVA,144.05,2022-06-30 13:38:33
TERRA,144.826,2022-06-30 13:38:35
COTA,152.294,2022-06-30 13:38:36
MONA,146.442,2022-06-30 13:38:39
LISA,143.898,2022-06-30 13:38:40
BOSSA,143.807,2022-06-30 13:38:42
NOVA,146.792,2022-06-30 13:38:43
TERRA,145.528,2022-06-30 13:38:45
COTA,146.548,2022-06-30 13:38:46
MONA,163.939,2022-06-30 13:38:49
LISA,144.847,2022-06-30 13:38:50
BOSSA,146.982,2022-06-30 13:38:52
NOVA,144.591,2022-06-30 13:38:53
TERRA,144.512,2022-06-30 13:38:55
COTA,144.762,2022-06-30 13:38:56
MONA,182.889,2022-06-30 13:38:59
LISA,144.601,2022-06-30 13:39:00
BOSSA,144.278,2022-06-30 13:39:02
NOVA,144.166,2022-06-30 13:39:03
TERRA,143.856,2022-06-30 13:39:05
COTA,144.498,2022-06-30 13:39:07
MONA,145.701,2022-06-30 13:39:09
LISA,144.354,2022-06-30 13:39:10
BOSSA,143.922,2022-06-30 13:39:12
NOVA,149.559,2022-06-30 13:39:13
TERRA,144.379,2022-06-30 13:39:15
COTA,223.876,2022-06-30 13:39:16
MONA,145.853,2022-06-30 13:39:19
LISA,150.959,2022-06-30 13:39:20
BOSSA,143.691,2022-06-30 13:39:22
NOVA,144.528,2022-06-30 13:39:23
TERRA,193.958,2022-06-30 13:39:25
COTA,147.806,2022-06-30 13:39:26
MONA,155.186,2022-06-30 13:39:29
LISA,460.992,2022-06-30 13:39:31
BOSSA,161.071,2022-06-30 13:39:32
NOVA,145.677,2022-06-30 13:39:33
TERRA,144.943,2022-06-30 13:39:35
COTA,201.355,2022-06-30 13:39:36
MONA,175.267,2022-06-30 13:39:39
LISA,149.133,2022-06-30 13:39:40
BOSSA,145.607,2022-06-30 13:39:42
NOVA,145.179,2022-06-30 13:39:43
TERRA,145.706,2022-06-30 13:39:45
COTA,162.134,2022-06-30 13:39:46
MONA,145.518,2022-06-30 13:39:49
LISA,146.34,2022-06-30 13:39:50
BOSSA,144.322,2022-06-30 13:39:52
NOVA,144.701,2022-06-30 13:39:53
TERRA,145.073,2022-06-30 13:39:55
COTA,204.114,2022-06-30 13:39:56
MONA,149.835,2022-06-30 13:39:59
LISA,145.406,2022-06-30 13:40:00
BOSSA,145.558,2022-06-30 13:40:02
NOVA,145.437,2022-06-30 13:40:03
TERRA,144.615,2022-06-30 13:40:05
COTA,144.853,2022-06-30 13:40:06
MONA,146.569,2022-06-30 13:40:09
LISA,145.978,2022-06-30 13:40:10
BOSSA,144.392,2022-06-30 13:40:12
NOVA,145.693,2022-06-30 13:40:13
TERRA,145.171,2022-06-30 13:40:15
COTA,144.939,2022-06-30 13:40:16
MONA,146.425,2022-06-30 13:40:19
LISA,146.502,2022-06-30 13:40:20
BOSSA,162.449,2022-06-30 13:40:22
NOVA,145.621,2022-06-30 13:40:23
TERRA,238.645,2022-06-30 13:40:25
COTA,144.786,2022-06-30 13:40:26
MONA,145.635,2022-06-30 13:40:29
LISA,145.147,2022-06-30 13:40:30
BOSSA,145.606,2022-06-30 13:40:32
NOVA,306.931,2022-06-30 13:40:34
TERRA,153.058,2022-06-30 13:40:35
COTA,158.059,2022-06-30 13:40:36
MONA,159.157,2022-06-30 13:40:39
LISA,144.822,2022-06-30 13:40:40
BOSSA,144.798,2022-06-30 13:40:42
NOVA,150.666,2022-06-30 13:40:43
TERRA,145.118,2022-06-30 13:40:45
COTA,183.188,2022-06-30 13:40:46
MONA,146.765,2022-06-30 13:40:49
LISA,144.326,2022-06-30 13:40:50
BOSSA,145.086,2022-06-30 13:40:52
