serial_number,latency,timestamp
MONA,327.823,2022-06-30 13:27:48.469994
LISA,435.187,2022-06-30 13:27:50.080272
BOSSA,371.844,2022-06-30 13:27:51.518886
NOVA,324.097,2022-06-30 13:27:52.990716
TERRA,336.492,2022-06-30 13:27:54.499013
COTA,326.936,2022-06-30 13:27:56.025499
MONA,329.231,2022-06-30 13:27:58.485045
LISA,427.439,2022-06-30 13:28:00.102558
BOSSA,339.756,2022-06-30 13:28:01.500404
NOVA,337.567,2022-06-30 13:28:03.004963
TERRA,334.183,2022-06-30 13:28:04.525663
COTA,328.484,2022-06-30 13:28:05.998134
MONA,329.118,2022-06-30 13:28:08.498957
LISA,351.407,2022-06-30 13:28:10.023106
BOSSA,420.539,2022-06-30 13:28:11.598494
NOVA,329.757,2022-06-30 13:28:13.019652
TERRA,416.358,2022-06-30 13:28:14.599443
COTA,457.018,2022-06-30 13:28:16.138429
MONA,331.973,2022-06-30 13:28:18.527070
LISA,357.898,2022-06-30 13:28:20.065060
BOSSA,349.066,2022-06-30 13:28:21.536716
NOVA,337.596,2022-06-30 13:28:23.027248
TERRA,336.409,2022-06-30 13:28:24.526656
COTA,326.289,2022-06-30 13:28:26.041507
MONA,410.709,2022-06-30 13:28:28.607112
LISA,323.677,2022-06-30 13:28:30.030836
BOSSA,378.35,2022-06-30 13:28:31.578726
NOVA,323.05,2022-06-30 13:28:33.027524
TERRA,327.497,2022-06-30 13:28:34.535042
COTA,328.043,2022-06-30 13:28:36.034634
MONA,326.057,2022-06-30 13:28:38.535789
LISA,323.562,2022-06-30 13:28:40.035866
BOSSA,489.626,2022-06-30 13:28:41.704900
NOVA,327.98,2022-06-30 13:28:43.043680
TERRA,324.24,2022-06-30 13:28:44.542305
COTA,324.093,2022-06-30 13:28:46.043042
MONA,349.057,2022-06-30 13:28:48.619187
LISA,437.006,2022-06-30 13:28:50.163891
BOSSA,579.231,2022-06-30 13:28:51.806184
NOVA,901.895,2022-06-30 13:28:53.741829
TERRA,457.209,2022-06-30 13:28:55.108701
COTA,340.343,2022-06-30 13:28:56.073813
MONA,324.428,2022-06-30 13:28:58.562737
LISA,329.704,2022-06-30 13:29:00.088088
BOSSA,327.002,2022-06-30 13:29:01.565410
NOVA,324.86,2022-06-30 13:29:03.066796
TERRA,374.159,2022-06-30 13:29:04.620994
COTA,412.996,2022-06-30 13:29:06.156593
MONA,518.575,2022-06-30 13:29:08.765434
LISA,359.97,2022-06-30 13:29:10.109235
BOSSA,336.717,2022-06-30 13:29:11.600017
NOVA,339.502,2022-06-30 13:29:13.096596
TERRA,326.354,2022-06-30 13:29:14.636960
COTA,325.588,2022-06-30 13:29:16.123967
MONA,378.478,2022-06-30 13:29:18.660495
LISA,333.916,2022-06-30 13:29:20.097655
BOSSA,380.092,2022-06-30 13:29:21.640857
NOVA,328.699,2022-06-30 13:29:23.090633
TERRA,329.732,2022-06-30 13:29:24.625709
COTA,340.524,2022-06-30 13:29:26.111266
MONA,330.027,2022-06-30 13:29:28.599983
LISA,324.326,2022-06-30 13:29:30.094962
BOSSA,327.792,2022-06-30 13:29:31.617567
NOVA,323.759,2022-06-30 13:29:33.113111
TERRA,333.257,2022-06-30 13:29:34.611849
COTA,324.337,2022-06-30 13:29:36.105523
MONA,326.535,2022-06-30 13:29:38.611620
LISA,325.01,2022-06-30 13:29:40.111733
BOSSA,324.07,2022-06-30 13:29:41.613963
NOVA,329.044,2022-06-30 13:29:43.123210
TERRA,330.416,2022-06-30 13:29:44.630240
COTA,343.203,2022-06-30 13:29:46.142346
MONA,357.621,2022-06-30 13:29:48.657105
LISA,326.501,2022-06-30 13:29:50.128468
BOSSA,325.038,2022-06-30 13:29:51.628408
NOVA,784.586,2022-06-30 13:29:53.593207
TERRA,410.472,2022-06-30 13:29:54.722826
COTA,331.294,2022-06-30 13:29:56.141668
MONA,327.031,2022-06-30 13:29:58.640747
LISA,326.899,2022-06-30 13:30:00.142749
BOSSA,325.841,2022-06-30 13:30:01.656345
NOVA,331.694,2022-06-30 13:30:03.152553
TERRA,354.028,2022-06-30 13:30:04.677227
COTA,325.882,2022-06-30 13:30:06.152860
MONA,326.21,2022-06-30 13:30:08.653922
LISA,327.536,2022-06-30 13:30:10.158239
BOSSA,450.635,2022-06-30 13:30:11.785023
NOVA,328.076,2022-06-30 13:30:13.163223
TERRA,323.024,2022-06-30 13:30:14.706555
COTA,404.167,2022-06-30 13:30:16.251682
MONA,466.759,2022-06-30 13:30:18.809261
LISA,530.104,2022-06-30 13:30:20.379045
BOSSA,413.654,2022-06-30 13:30:21.760833
NOVA,325.357,2022-06-30 13:30:23.173303
TERRA,501.787,2022-06-30 13:30:24.888683
COTA,331.921,2022-06-30 13:30:26.184197
MONA,806.322,2022-06-30 13:30:29.163696
LISA,372.403,2022-06-30 13:30:30.245525
BOSSA,514.491,2022-06-30 13:30:31.876892
NOVA,623.355,2022-06-30 13:30:33.488916
TERRA,326.806,2022-06-30 13:30:34.716469
COTA,324.086,2022-06-30 13:30:36.190679
MONA,340.353,2022-06-30 13:30:38.759741
LISA,325.849,2022-06-30 13:30:40.221864
BOSSA,455.569,2022-06-30 13:30:41.834200
NOVA,810.592,2022-06-30 13:30:43.695453
TERRA,374.491,2022-06-30 13:30:44.754376
COTA,478.047,2022-06-30 13:30:46.362101
MONA,478.443,2022-06-30 13:30:48.864245
LISA,346.178,2022-06-30 13:30:50.233681
BOSSA,323.396,2022-06-30 13:30:51.712178
NOVA,871.503,2022-06-30 13:30:53.762528
TERRA,355.892,2022-06-30 13:30:54.916062
COTA,341.228,2022-06-30 13:30:56.238656
MONA,328.463,2022-06-30 13:30:58.726604
LISA,324.28,2022-06-30 13:31:00.224660
BOSSA,386.158,2022-06-30 13:31:01.795889
NOVA,851.576,2022-06-30 13:31:03.757460
TERRA,325.907,2022-06-30 13:31:04.733761
COTA,324.758,2022-06-30 13:31:06.234161
MONA,324.849,2022-06-30 13:31:08.737835
LISA,325.885,2022-06-30 13:31:10.242734
BOSSA,785.403,2022-06-30 13:31:12.203181
NOVA,1065.982,2022-06-30 13:31:13.985425
TERRA,333.226,2022-06-30 13:31:14.754886
COTA,324.343,2022-06-30 13:31:16.247935
MONA,338.542,2022-06-30 13:31:18.770888
LISA,326.177,2022-06-30 13:31:20.254849
BOSSA,772.488,2022-06-30 13:31:22.203039
NOVA,863.621,2022-06-30 13:31:23.805114
